US,UK,ROU,POL,NL,MEX,ITA,FRE,SPA,GER,CZE,BRA
fucktart,feltch,nigger,,Penishoofd,,,poufe,,handjob,buttwipe,
fuckup,feltched,niggers,,Peniskoker,,,pouffe,,Hanswurst,c0ck,
fuckwit,feltcher,nlgger,,Peniskokerlikker,,,pouffes,,Harnröhrenfister,c0cksucker,
fuckwits,feltchers,nutsack,,Penisleier,,,pouffiasse,,heeb,candyass,
fuckyou,feltching,nutte,,Penislikker,,,poufiasse,,heulsuse,chink,
fudgenudger,fisted,nympho,,Peniszuiger,,,prorat,,hh,chinks,
fudgenudger,fistfuck,orgasm,,Perebek,,,prostitue,,himmler,cipa,
fudgepacka,fistfucks,orgy,,Piemelemoosje,,,prostituee,,Hirnampotierter,clit,
fudgepacker,fisting,pendejo,,Piemelpatser,,,prostituer,,Hirni,clito,
fudgepacking,fitta,penner,,Piemelpiraat,,,prostitut,,hitler,clits,
fuk,fittafis,penus,,Piemelwijf,,,Prostitute,,hoe,cock,
fukin,fittansikte,phuck,,Pijpert,,,prostitution,,hohle Frucht,cocks,
fux0r,fittslickare,pimmel,,Pijpgeit,,,ptain,,Hohlkopf,cocksucker,
gangbang,fittytuck,pimp,,Pijphoer,,,pteux,,holocaust,cocksuckers,
gay,fittytucking,pimpis,,Pijphomo,,,ptin,,homo,cojones,
gayboy,flansost,pinche,,Pijpmond,,,Pussi,,homodumbshit,coon,
gayboys,flata,piss,,Pijpslet,,,Pussy,,Honk,cornhole,
gaylord,fock,pisser,,Pikzuiger,,,putain,,honkey,cracker,
gays,follar,Poof,,Pikvocht,,,putasse,,Hornochse,cum,
gaywad,foquin,poontang,,Pikkelikker,,,putasses,,Hosenscheißer,cunt,
göbbels,fottere,poopshoot,,Pikkenlikker,,,pute,,humping,cunts,
goddamn,fottersi,porchmonkey,,Pikketrekker,,,putes,,huso,d!ck,
goddamn,fotze,porn,,Pikzuiger,,,putin,,ikariam,d1ck,
goddamnit,foutre,porno,,Pindavreter,,,puttain,,Impotenter,dick,
goddamnit,freaking,prick,,Pisbuisje,,,puttains,,Inselaffe,dickhead,
goebbels,fregna,prostitute,,Pishoofd,,,putte,,jackass,dickheads,
gollywog,friggin,pubes,,Piskabouter,,,puttes,,Jammerlappen,dike,
gooch,frigging,pusse,,Piskonijn,,,quequette,,Jammerspacken,dildo,
gook,frikking,pussies,,Piskont,,,quéquette,,Jammersuse,dingleberries,
gooks,frocio,pussis,,Piskut,,,quequettes,,jap,dingleberry,
guido,froscio,pussy,,Pislul,,,quéquettes,,jerk off,dipshit,
hackfresse,fucing,puta,,Pisnicht,,,race,,jigaboo,dipshits,
handjob,fuck,putang,,Pisklit,,,racial,,jizz,djck,
hardon,fuckbuddies,puto,,Pisvlek,,,rectum,,jungle bunny,dlck,
heeb,fuckbuddy,queef,,Plakhoer,,,rectus,,junglebunny,dogfucker,
hell,fuckbuddys,queer,,Plasnicht,,,reubeu,,Kaaskopf,doggiestyle,
himmler,fucked,rape,,Plaspop,,,roter,,Kachelfresse,doggystyle,
hitler,fucker,rectal,,Pluruskut,,,rotes,,kampf um mittelerde,domina,
ho,fuckers,rimjob,,Poedelpijper,,,s.a.l.o.p.e,,Kampflesbe,dong,
hoe,fuckface,sausagejockey,,Poedelneuker,,,sadism,,Kanisterkopf,douche,
hoer,fuckhead,schamhaar,,Poepchinees,,,sadist,,Kastrat,douchebag,
Hoes,fuckin,scheisse,,Poepdooshoofd,,,salaud,,kike,douchebags,
homo,fucking,schwanz,,Poepgat,,,salauds,,Kinderschänder,douches,
homos,fuckit,schwuchtel,,Poepneuker,,,salaupe,,Klassenmatratze,doudounes,
homosexual,fuckoff,schwul,,Poepkut,,,salo,,kooch,dyke,
homosexuals,fucks,scrotum,,Poepsexhomo,,,salop,,kootch,dykes,
hooker,fuckstick,sh!+,,Poepslet,,,salope,,kotz,ejaculate,
hookers,fucksticks,sh!t,,Poepsnoeper,,,salope,,kunt,ejakulate,
hooters,fucktard,sh*t,,Poepsnol,,,saloperie,,kyke,f0ck,
hore,fucktards,sh1t,,Poepturk,,,saloperies,,Labberbacke,fachar,
hore,fucktart,shemale,,Kutturk,,,salopes,,Labbersack,fag,
horney,fucktarts,shi+,,Poepvlek,,,salopes,,Laberbacke,faggot,
horny,fuckup,shit,,Poepvreter,,,saloppe,,Lachnummer,faggots,
http[^\s]*,fuckups,shite,,Pokkewijf,,,saloppe,,Lackaffe,fags,
hummer,fuckwit,shits,,Kutwijf,,,saloppes,,lameass,fatass,
humping,fuckwits,shitter,,Poldersnol,,,salops,,Lammerzeugunsorgan,fcuk,
jackass,fuckyou,shitty,,Pompslet,,,satan,,Landhure,fcukoff,
jacking,fudgenudger,shlt,,Pornomonster,,,satanic,,Landpomeranze,fcukyou,
jackoff,fudgenudgers,shyt,,Portiekhoerslet,,,satanist,,Landstreicher,felch,
jackoff,fudgepacka,skank,,Portretslet,,,sataniste,,Latrienenlecker,feltch,
jackshit,fudgepacker,sklave,,Pothoer,,,se><,,Läusezucht,fitta,
jaji,fudgepackers,slut,,Preutsekut,,,sex,,Lauwarmduscher,fittafis,
jap,fudgepacking,snatch,,Grafbek,,,Sexe,,Leberwurstgesicht,fittansikte,
japeye,fugly,spast,,Puistenhomo,,,sexes,,Leffdutti,fittslickare,
jazi,fuk,sperma,,Puistekop,,,shab,,Leiche,fittytuck,
jerk,fuka,spic,,Puistenkut,,,shetan,,Leisbock,fittytucking,
jerked,fukc,spics,,Puistenreet,,,skinhead,,Lellerbebbel,flansost,
jerking,fuker,stok,,Stoephoer,,,sodomie,,Lendenlutscher,flata,
jerkoff,fukers,stoke,,Raamneger,,,sodomies,,Lentschgacki,fock,
jerks,fukin,tampon,,Rampdebiel,,,sodomise,,Lentschificker,follar,
Jew,fuking,tits,,Raseikel,,,sodomiser,,lesbian,foquin,
jewed,fukker,titt,,Rattenneuker,,,sousmerde,,lesbo,fottere,
jidder,fukkers,titties,,Reefteef,,,sous-merde,,Lexfiedle,fottersi,
jigaboo,fukking,titty,,Retekind,,,sperm,,lezzie,fotze,
jism,fuks,torte,,Retelteef,,,sperme,,Lipidrosettenhaar,foutre,
jizz,funbags,trottel,,Rimpelkut,,,suc,,Lobotomierter,freaking,
junglebunnies,furrygash,twat,,Rolstoelbaviaan,,,suce,,Lotterbube,fregna,
junglebunny,furrygooseberries,twats,,Rotmof,,,sucent,,Luder,friggin,
kawk,furrygooseberrys,vagina,,Schaamlipgezwel,,,sucer,,Lügenbold,frikking,
keffa,fux0r,vaginas,,Schaamliplikker,,,suces,,Lügensau,frocio,
keffas,fux0red,w00se,,Schaamluis,,,suceur,,Lügenschwein,froscio,
kike,fuxor,wang,,Schaampik,,,suceurs,,Luligagg,fucing,
kikes,fuxored,wank,,Schapekut,,,suceuse,,Lullerlecker,fuck,
knobgobbler,gangbang,wanker,,Schapenneuker,,,suceuses,,Lümmeltüte,fucked,
knobhead,gangbanger,wetback,,Schijtbek,,,suck,,Lumpenpack,fucker,
knobheads,gangbangers,wetfart,,Schijthoer,,,susse,,Lumpensack,fuckers,
Kock,gangbangs,wh0re,,Schijthomo,,,susse,,Lurchi,fuckhead,
kooch,ganga,whoar,,Schijtkut,,,susse,,Lusche,fuckin,
kunt,ganja,whoore,,Schijtluis,,,t’emmerde,,Luschi,fucking,
kyke,gasheater,whore,,Schijtmongool,,,tantouse,,Lustgreis,fuckoff,
l3i+ch,gasheaters,whores,,Schijtwijf,,,tantouses,,Lustgrottentaucher,fucks,
l3i+ch,gay,wichser,,Schijtzak,,,tantouze,,Lustmolch,fuckyou,
l3itch,gayboy,wixer,,Schimmelkut,,,tantouzes,,Lutschauge,fudgepacka,
lardass,gayboys,wixxer,,Schimmelpik,,,tantra,,Macho,fudgepacker,
lesb,gayboyz,wpww,,Schimmelkont,,,Tantra,,Mamasöhnchen,fudgepacking,
lesbian,gays,www,,Schlemiel,,,tantraisme,,Mannschaftsmatratze,fux0r,
lesbisch,gayz,zzzzzfiles,,Schoolhoer,,,tapette,,Massenmörder,gangbang,
lesbo,ghay,kk,,Schoolhoertje,,,tarlouze,,Mastsau,gay,
lesbos,ghey,kkt,,Schoolkamphoer,,,tasspe,,Masturbation,göbbels,
lessie,göbbels,plm,,Schuftkop,,,telma,,Masturbiergriffel,goddamn,
lessies,gloryhole,pulalau,,Schurftenlul,,,tepu,,Matschbirne,goddamnit,
lez,gloryholes,smegma,,Schurftkut,,,testicule,,Mauerblümchen,goddamn,
lezzie,goddamn,fut,,Seksslet,,,Testicules,,Maulheld,goddamnit,
maengele,goddamnit,ling,,Sigarettenslet,,,teuch,,mcfagget,goebbels,
mängele,goebbels,lingi,,Slakut,,,tg,,Memme,gook,
masterbat*,gollywog,coae,,Slettebak,,,tin,,Menschenaffe,gooks,
masterbat3,gollywogs,coitze,,Slettebek,,,tringle,,Menschenschinder,hackfresse,
masterbation,gonad,futi,,Slettekind,,,tringler,,Menstruation,himmler,
mastuerzon,gonads,zdreamta,,Slettekop,,,tripote,,Metze,hitler,
masturbate,gook,sugaci,,Sletteklep,,,tripotee,,Milchbubi,hoe,
mcfaggot,gooks,,,Slikslet,,,tripoter,,Minderbemittelter,hoer,
mengele,hackfresse,,,Slingersnikkel,,,triquer,,Minderwertiger,homo,
mick,hardon,,,Sloeber,,,tronche,,minge,hooters,
mofo,hardons,,,Smegma,,,troncher,,Missgeburt,horney,
monkeyass,hash,,,Smegmalikker,,,troncher,,Miststück,horny,
mothafucking,heroin,,,Smegmasnuiver,,,trouduc,,Mistkrücke,http,
motharfucker,himmler,,,Smetkut,,,trouduk,,Mistkerl,hummer,
motharfuka,hitler,,,Snol,,,turlute,,Mistvieh,jackoff,
motharfukka,hoe,,,Snollekop,,,turluter,,Mistgeburt,jackass,
Motherf0cker,hoer,,,Soalikker,,,turlutes,,Mistfink,jacking,
Motherfocker,homo,,,Soepkut,,,turlutte,,Mobbelkotzer,jackoff,
motherfucker,homos,,,Soeplul,,,turlutter,,Mobbingsau,jackshit,
motherfuckers,homosexual,,,Soepmongool,,,turluttes,,Möchtegern,jaji,
motherfucking,homosexuals,,,Spermabal,,,vagin,,Mockastecher,jazi,
motherukka,hooker,,,Spermahoer,,,vagins,,Mokkaspaltenlecker,jewed,
muff,hookers,,,Spermaslet,,,va-te-faire,,Mokkastecher,jidder,
muffdiver,hooters,,,Spermakut,,,vibro,,Mongo,jigaboo,
muffdiving,hore,,,Spermalul,,,voggle,,Monstertitte,jism,
muffs,hores,,,Spruithoer,,,vtf,,Moorhuhndanebenschießer,jizz,
muschi,horney,,,Spruitsnol,,,vtff,,moron,junglebunnies,
mutherfuka,horny,,,Spruitkut,,,vulve,,muff,junglebunny,
mutta,http[^\s]*,,,Sloerie,,,vulves,,muffdiver,kawk,
n!gga,hummer,,,Stierenlul,,,yoom,,Müffelschweinchen,kike,
n!gger,hummers,,,Stinkaap,,,youpin,,Mugel,kyke,
n*gger,idjit,,,Stinkhomo,,,youpins,,Mumu,l3i+ch,
n166er,idjits,,,Stinkhoer,,,zabour,,munging,l3i+ch,
n1gga,jackass,,,Stinklul,,,zboub,,Murgel,l3itch,
n1gger,jacking,,,Stinkmalloot,,,zerma,,Murksmacher,lesb,
n4zi,jackoff,,,Stinkslet,,,zob,,Mutt. bfrut.,lesbian,
nazi,jackshit,,,Stoepslet,,,zobe,,Muttersöhnchen,lesbisch,
negro,jaji,,,Straathoer,,,zober,,Nachgeburt,lesbo,
negroes,japseye,,,Straatslet,,,zobes,,Nachgeburtsnager,maengele,
negros,jazi,,,Strandhoer,,,zobi,,Nachttopfausschlürfer,mängele,
ngger,jerk,,,Strontbaffiaan,,,zobis,,Nachttopfsklave,masterbat*,
ni66ar,jerked,,,Stronthoer,,,zobs,,Nackedei,masterbat3,
ni66er,jerking,,,Strontkut,,,zzzzzzfiles,,Nacktarsch,masterbation,
ni6ger,jerks,,,Strontmof,,,Auschwitz,,Nappel,mastuerzon,
nigga,jerkoff,,,Sukkel,,,auschwitz,,Nasenbohrer,masturbate,
niggah,jewed,,,Supermongool,,,bais,,Nasengeburt,mengele,
niggar,jidder,,,Takkehoer,,,baise,,nazi,mofo,
niggars,jigaboo,,,Takkenteef,,,baiz,,negro,monkeyass,
niggas,jism,,,Takkentrut,,,baltringue,,Nichtskönner,motharfucker,
nigger,jizz,,,Takkesnol,,,bastard,,Nichtsnutz,motharfuka,
niggers,jizzwhore,,,Teef,,,batar,,nigaboo,motharfukka,
niglet,jizzwhores,,,Teeringhoer,,,batar,,niglet,Motherf0cker,
nignog,junglebunnies,,,Tekkelbeffer,,,bâtard,,Nougatfurche,Motherfocker,
nlgger,junglebunny,,,Teletubbiekut,,,batard,,nsdap,motherfucker,
nobhead,kawk,,,Tempelslet,,,battar,,Nudellecker,motherfuckers,
nobhead,keffa,,,Teringlijer,,,battard,,nut sack,motherfucking,
nobheads,keffas,,,Teringlul,,,behloul,,nutsack,motherukka,
nobjockey,kike,,,Teringhoer,,,belef,,Oberaffe,muschi,
nobstick,kikes,,,Teringslet,,,belefomouk,,Oberlusche,mutherfuka,
nutsack,knackers,,,Teringtyfushoer,,,belef-o-mouk,,Oberonanierer,mutta,
nutte,knackersack,,,Trekslet,,,Bitch,,Oberpfeife,n!gga,
nympho,knackersmacker,,,Trekvlek,,,bitch,,Ohrfeigengesicht,n!gger,
orgasm,knobgobbler,,,Truttekut,,,bite,,Oimel,n*gger,
orgy,knobgobblers,,,Turkenbeffer,,,bites,,Omalecker,n166er,
paki,knobgobbling,,,Turkenlikker,,,bitte,,Omapopper,n1gga,
pakis,knobhead,,,Turkenneuker,,,bittes,,Onanierer,n1gger,
panooch,knobheads,,,Tyfushoer,,,bondage,,Onanierfaust,n4zi,
pecker,knuckleshuffle,,,Tyfuslijer,,,bougnoul,,Onanist,nazi,
peckerhead,kush,,,Tyfuslul,,,bougnoule,,Opabläser,ngger,
pedo,kyke,,,Viswijf,,,bougnoules,,Opfer,ni66ar,
pedophile,l3i+ch,,,Vuileslet,,,branl,,Opferspast,ni66er,
Pen1s,l3i+tch,,,Wigger,,,branlage,,Oraldurchfall,ni6ger,
pendejo,lesb,,,Zaadbal,,,branle,,paki,nigga,
penis,lesbian,,,Zaadhoer,,,branler,,panooch,niggah,
penises,lesbisch,,,Zaadslet,,,branles,,Pansenfresser,nigger,
penner,lesbo,,,zzzzzzfiles,,,branlette,,Pansengesicht,niggers,
penus,lesboes,,,[^\s]*tube8[^\s]*,,,branlettes,,Pansenkind,nlgger,
phuck,lesbos,,,[^\s]*youporn[^\s]*,,,canabis,,Pansenkopf,nutsack,
pimmel,lessie,,,a$$h0l3,,,Cannabis,,Papnase,nutte,
pimp,lessies,,,a$$hole,,,cannabis,,Pappenheimer,nympho,
pimpis,lez,,,abspritzer,,,chiante,,Pappnase,orgasm,
pinche,limpdick,,,adolf,,,chiasse,,pecker,orgy,
piss,limpdicks,,,anal,,,chiasses,,peckerhead,pendejo,
pissed,loveplums,,,anfänger,,,chier,,Perverser,penis,
pisser,lsd,,,arsch,,,chies,,Perversling,penner,
polesmoker,maengele,,,arschficken,,,chimboz,,Pestbeule,penus,
Poof,mängele,,,arschlecker,,,chiotte,,Pferdeapfelfeinschmecker,phuck,
poon,manbatter,,,arschloch,,,chiottes,,Pferdefresse,pimmel,
poonani,marijuana,,,assface,,,chis,,Pferdegesicht,pimp,
poonany,marsterbator,,,assfuck,,,ch'tah,,Pflaumenaugust,pimpis,
poontang,masterbate,,,asshat,,,clito,,Pflaumenlecker,pinche,
poopshoot,masterbat3,,,asshole,,,clitoris,,Pfötz,piss,
porchmonkey,masterbation,,,assholes,,,cocain,,Pickelface,pisser,
porn,mastuerzon,,,asswipe,,,cocaine,,Pickelfresse,Poof,
porno,masturbate,,,azzhole,,,cocaine,,Pillermann,poontang,
prick,masturbated,,,b!tch,,,cocaine,,Pimpf,poopshoot,
pricks,masturbates,,,b*tch,,,Cochonne,,Pinkelschwein,porchmonkey,
prossie,masturbating,,,b00bs,,,cock,,piss,porn,
prossies,masturbator,,,b17ch,,,cokaine,,piss,porno,
prostitute,masturbators,,,b1tch,,,coke,,polesmoker,prick,
pubes,mengele,,,bastard,,,conar,,pollock,prostitute,
puff,meth,,,bi+ch,,,conard,,poon,pubes,
puffs,minge,,,biatch,,,conards,,poonani,pusse,
puffter,minger,,,billing,,,conart,,poonany,pussies,
pusse,minges,,,bitch,,,conarts,,poontang,pussis,
pussies,mofo,,,bitchass,,,conasse,,popel,pussy,
pussis,mong,,,bitches,,,conasses,,poperze,puta,
pussy,mongoloid,,,bitchy,,,connace,,Popler,putang,
pussylicking,mongoloids,,,blowjob,,,connar,,popo,puto,
pussys,monkeyass,,,blowjobs,,,connar,,porch monkey,queef,
puta,mooseknuckle,,,bltch,,,connard,,porchmonkey,queer,
puta,mopsock,,,bollocks,,,connart,,porn,rape,
putang,mopsocks,,,boobs,,,connarts,,Pottsau,rectal,
puto,mopsox,,,buceta,,,connasse,,Prallbirne,rimjob,
queef,motharfucker,,,bullshit,,,connasses,,Prallkopf,sausagejockey,
queer,motharfuka,,,buttface,,,conne,,Pressgeburt,schamhaar,
queerbait,motharfukka,,,buttfuck,,,connerie,,prick,scheisse,
rape,Motherf0cker,,,butthead,,,conneries,,puff,schwanz,
raped,Motherfocker,,,butthole,,,connes,,puller,schwuchtel,
raped,motherfucker,,,buttlick,,,couille,,Pümmel,schwul,
raping,motherfuckers,,,buttwipe,,,couilles,,punanny,scrotum,
raping,motherfucking,,,c0ck,,,cu,,punta,sh!+,
rapings,motherukka,,,c0cksucker,,,cul,,pussies ,sh!t,
rapist,muff,,,candyass,,,cuni,,pussy,sh*t,
rapists,muffdiver,,,cave,,,cunni,,Putensau,sh1t,
rectal,muffdivers,,,chink,,,dahwa,,puto,shemale,
rimjob,muffdiving,,,chinks,,,dick,,Quadratfresse,shi+,
rugmuncher,muffs,,,cipa,,,dilatation,,Quadratlatschi,shit,
rugmunchers,munter,,,clit,,,dilate,,Quadratschädel,shite,
sandnigger,muttondagger,,,clito,,,dilatee,,Quarkschädel,shits,
sausagejockey,muschi,,,clits,,,dilater,,queef,shitter,
schamhaar,mutherfuka,,,cock,,,dilater,,queer,shitty,
scheisse,mutta,,,cockhead,,,dilatte,,queerbait,shlt,
schlong,n!gga,,,cocks,,,dilatter,,queerhole,shyt,
schwanz,n!gger,,,cocksucker,,,drug,,Ranztüte,skank,
schwuchtel,ni+gger,,,cocksuckers,,,ducon,,Reagenzglasgeburt,sklave,
schwul,n166er,,,cojones,,,ejac,,Reagenzglaskind,slut,
scrotum,n1gga,,,coon,,,éjacul,,Rehkopp,snatch,
Sex,n1gger,,,cornhole,,,ejaculation,,Rektumsurfer,spast,
sh!+,n1ggers,,,cracker,,,éjaculation,,renob,sperma,
sh!t,n1ggerz,,,cum,,,ejacule,,rimjob,spic,
sh*t,n4zi,,,cunt,,,ejaculer,,Rindschwein,spics,
sh1t,nazi,,,cuntface,,,éjaculer,,Rindvieh,stok,
shag,nazis,,,cunts,,,ejacules,,Ritzenflitzer,stoke,
shagged,necrophilia,,,d!ck,,,emmerd,,Ritzenfummler,tampon,
shagging,necrophiliac,,,d1ck,,,emmerdant,,Ritzenkacker,tits,
shemale,negro,,,dick,,,emmerdante,,Ritzenpisser,titt,
shi+,negroes,,,dickhead,,,emmerde,,Ritzenputzer,titties,
shirtlifter,negros,,,dickheads,,,emmerdes,,Ritzenragout,titty,
shit,ngger,,,dike,,,emmerdez,,Ritzensammler,torte,
shitbrains,ni66ar,,,dildo,,,encul,,Rotzbengel,trottel,
shitcunt,ni66er,,,dingleberries,,,encule,,Rotzlöffel,twat,
shite,ni6ger,,,dingleberry,,,enculé,,Rübennase,twats,
Shithoes,nigga,,,dipshit,,,enculent,,Rübensau,vagina,
Shithose,niggah,,,dipshits,,,enculer,,Rübenschwein,vaginas,
shits,niggar,,,djck,,,encules,,Rückevolutionierer,w00se,
shitter,niggars,,,dlck,,,enflure,,Ruhrpottsau,wang,
shitting,niggas,,,dogfucker,,,enfoir,,Runzelfresse,wank,
shitty,nigger,,,doggiestyle,,,enfoire,,ruski,wanker,
shlt,niggers,,,doggystyle,,,enfoires,,Sabbersau,wetback,
shyt,niggerz,,,domina,,,engeuuler,,Sackafter,wetfart,
skank,nigglet,,,dong,,,engueule,,Sackassi,wh0re,
skeet,niggz,,,douche,,,engueulent,,Sackgesicht,whoar,
sklave,nignog,,,douchebag,,,Erection,,Sackhaarflechter,whoore,
skullfuck,nlgger,,,douchebags,,,Extasi,,Sackhaarfresse,whore,
slapper,nobhead,,,douches,,,Extasy,,Sackhaarkämmer,whores,
slut,nobheads,,,doudounes,,,facho,,Sackhaarlaus,wichser,
slutbag,nobjob,,,dyke,,,fdp,,Sackhaarraucher,wixer,
sluts,nobjockey,,,dykes,,,fecal,,Sackkratzer,wixxer,
slutty,nobstick,,,ejaculate,,,felation,,Sacklaus,wpww,
snatch,numbnuts,,,ejakulate,,,fellation,,Sacklausfilzer,www,
sodomize,nutsack,,,f*ck,,,fellation,,Sacklecker,zzzzzfiles,
sodomized,nutte,,,f*k,,,filsdepute,,Sacklutscher,,
sodomizer,nympho,,,f0ck,,,fiote,,Sacknase,,
sodomizers,org@sm,,,fachar,,,fiotes,,Sackrasierer,,
sodomizing,orgasm,,,fag,,,fiotte,,Sackratte,,
spast,orgazm,,,faggot,,,fiottes,,Sackrattenzüchter,,
sperm,orgy,,,faggots,,,fist,,Sackritzenschwitzer,,
sperma,paedo,,,fags,,,foufe,,Sacksau,,
sperms,paedos,,,fatass,,,fouffe,,Sackschmatzer,,
spic,paki,,,fck,,,foure,,Saftkopf,,
spick,pakis,,,fcuk,,,foutrent,,Saftsack,,
spics,peado,,,fcukoff,,,foutres,,Salmonellenfresser,,
spik,peadobear,,,fcukyou,,,fouttre,,sand nigger,,
stiffy,peadophile,,,felch,,,fouttres,,sandnigger,,
stok,peadophiles,,,feltch,,,fuck,,Sauaas,,
stoke,peados,,,fitta,,,Fucked,,Saubacke,,
taint,ped0,,,fittafis,,,Fucker,,Saubär,,
tampon,pedo,,,fittansikte,,,Fucking,,Saubatzen,,
tard,pedobear,,,fittslickare,,,fumier,,Saubauer,,
tart,pedophile,,,fittytuck,,,fumiers,,Saubazi,,
tarts,pedophiles,,,fittytucking,,,Gangbang,,Saubeidl,,
testicle,pedos,,,flansost,,,genital,,Säubelz,,
threesome,pendejo,,,flata,,,gerb,,Saubeutel,,
titfuck,penis,,,fock,,,gerbe,,Saubock,,
tits,penises,,,follar,,,gerbe,,Saubratzen,,
titt,penner,,,foquin,,,gerbee,,Saudepp,,
titties,penus,,,fottere,,,gerber,,Saueimerauslecker,,
titty,phanny,,,fottersi,,,gmail,,Sauhammel,,
torte,phuck,,,fotze,,,gouinasse,,Sauhaxn,,
tosser,pimmel,,,foutre,,,gouinasses,,Sauhund,,
tosser,pimp,,,freaking,,,gouine,,Saukopf,,
towelhead,pimps,,,fregna,,,gouines,,Saukrampen,,
trollop,pinche,,,friggin,,,gouinne,,Saumaul,,
trollops,pindick,,,frikking,,,gouinnes,,Sausack,,
trottel,pindicks,,,frocio,,,grognasse,,Sautrottel,,
turd,piss,,,froscio,,,grognasses,,Schabracke,,
turdburglar,pissed,,,fucing,,,grogniasse,,Schafskopf,,
turds,pisser,,,fuck,,,grogniasse,,schamhaar,,
twat,pissing,,,fucked,,,gueule,,scheiden,,
twats,pissoff,,,fucker,,,gueuler,,Schickse,,
twatted,Poof,,,fuckers,,,hack,,Schlaffschwanz,,
vag,poontang,,,fuckhead,,,hacker,,Schlappnudel,,
Vag,poopshoot,,,fuckin,,,hacking,,Schlapppisser,,
vagina,porchmonkey,,,fucking,,,hagoune,,Schlappsack,,
vaginas,porksword,,,fuckoff,,,hamalle,,Schlappschwanz,,
vajayjay,porn,,,fucks,,,hataille,,schlong,,
w00se,porno,,,fuckstick,,,Heil,,Schluckluder,,
wan,pr0n,,,fuckyou,,,heroin,,Schmierlappen,,
wang,prick,,,fudgenudger,,,heroine,,Schmock,,
wank,pricks,,,fudgepacka,,,herpes,,Schrabnelle,,
wankbag,pron,,,fudgepacker,,,Hitler,,schutzstaffel,,
wanked,prossie,,,fudgepacking,,,hmal,,Schwachkopf,,
wanker,prossies,,,fuk,,,hotmail,,Schwachmat,,
wankers,prostitute,,,fux0r,,,http,,schwanz,,
wanking,prostitutes,,,gangbang,,,incest,,schweine,,
wanks,pube,,,gay,,,inceste,,schwengel,,
Weiner,pubes,,,göbbels,,,incestueuse,,schwengel,,
wetback,puff,,,goddamn,,,incestueux,,Schwuchtel,,
wetfart,puffs,,,goddamn,,,inch'allah,,scrote,,
wh0re,puffter,,,goddamnit,,,joint,,shiz,,
whoar,punani,,,goddamnit,,,junkie,,shiznit,,
whoore,pussie,,,goebbels,,,Kanaille,,Sittensau,,
whore,pussies,,,gook,,,kehba,,Sittenstrolch,,
whorebag,pussis,,,gooks,,,kehbaa,,skank,,
whores,pussy,,,hackfresse,,,kehbba,,skeet,,
whoring,pussyfart,,,himmler,,,kkehba,,skullfuck,,
Whoring,pussyfarts,,,hitler,,,kkk,,smeg,,
wichser,pussyfucker,,,hoer,,,klitoris,,snatch,,
wixer,pussyfuckers,,,homo,,,lesbien,,Spack,,
wixxer,pussygape,,,hooters,,,lesbienne,,Spackbeutel,,
wog,pussymuncher,,,hore,,,Lucifer,,Spackbrezel,,
wogs,pussymunchers,,,hore,,,mange-merde,,Spacken,,
wpww,pussys,,,horney,,,Marijuana,,Spacker,,
www[^\s]*,puta,,,horny,,,mari-juana,,Spacko,,
zipperhead,putang,,,http[^\s]*,,,marijuana,,Spack-o-mat,,
zzzzzfiles,puto,,,hummer,,,masochism,,Spacktasche,,
,queef,,,jackass,,,masochism,,Spaken,,
,queer,,,jacking,,,masochisme,,Spakenkind,,
,queers,,,jackoff,,,masochiste,,Spakspaten,,
,quim,,,jackoff,,,masturb,,Spasst,,
,quims,,,jackshit,,,masturbation,,Spast,,
,rape,,,jaji,,,masturbe,,Spastenkopf,,
,raped,,,jazi,,,masturber,,Spasti,,
,rapes,,,jewed,,,merde,,Speckbirne,,
,raping,,,jidder,,,merdeuse,,Specki,,
,rapings,,,jigaboo,,,merdeuses,,spic,,
,rapist,,,jism,,,merdeux,,spick,,
,rapists,,,jizz,,,nardin,,splooge,,
,rectal,,,junglebunnies,,,nardin,,spook,,
,rectum,,,junglebunny,,,nardin-o-mouk,,Spratzi,,
,rectums,,,kawk,,,narl,,Spreize,,
,retard,,,kike,,,Nazi,,ss,,
,retards,,,kyke,,,nazzi,,Stück Dreck,,
,rimjob,,,l3i+ch,,,negre,,tard,,
,rimjobs,,,l3i+ch,,,negres,,testicle,,
,rugmuncher,,,l3itch,,,nègres,,thundercunt,,
,rugmunchers,,,lesb,,,negress,,tit,,
,sausagejockey,,,lesbian,,,negresse,,Torfnase,,
,scat,,,lesbisch,,,negresses,,Totenschänder,,
,scatophilia,,,lesbo,,,ngresse,,Transe,,
,schamhaar,,,lez,,,nibar,,travian,,
,scheisse,,,maengele,,,nibard,,travianer,,
,schwanz,,,mängele,,,nichon,,Tucke,,
,schwuchtel,,,masterbat*,,,nichons,,Tunte,,
,schwul,,,masterbat3,,,nikomouk,,twat,,
,scrotum,,,masterbation,,,nik-o-mouk,,unclefucker,,
,sh!+,,,mastuerzon,,,niquent,,untermensch,,
,sh!t,,,masturbate,,,niquer,,Vereinsmatratze,,
,shi+t,,,mengele,,,niques,,vereinsmatratze,,
,sh1t,,,mofo,,,ntm,,vibrator,,
,shag,,,monkeyass,,,omouk,,Vollassi,,
,shagged,,,motharfucker,,,omek,,Volldepp,,
,shagger,,,motharfuka,,,orgasm,,Volleugen,,
,shaggers,,,motharfukka,,,orgies,,Vollfatzge,,
